"","wt_nt.1","wt_nt.2","wt_cpr.1","wt_cpr.2","fur_nt.1","fur_nt.2","fur_cpr.1","fur_cpr.2"
"1762154_at",11.0283233627091,11.1683227637095,11.3109926836382,10.3404030146075,10.7106453529871,11.2751010971521,10.3305369927615,11.0180938495137
"1768835_at",13.4220873733017,13.4301054592114,12.6535867143656,12.6956020739706,13.3646496308637,13.1032663807444,12.9816757045563,12.9322956363472
"1765148_s_at",10.2437076832214,10.6047234482291,10.3522834276084,10.1863726350889,10.3202214746662,10.5429247270063,9.69287879518063,9.90561393356685
"1766579_s_at",10.7647394932744,10.5575870896933,11.6931160768763,11.5759719494894,10.6209007026812,10.6235659806557,11.1592541197298,11.4776702622389
"1761846_s_at",10.4525597885959,10.4909730605397,10.159251856092,9.79341193202264,10.9285611637549,10.7229649180713,10.0091214082458,9.99847529194196
"1769084_at",11.0181850559743,11.2456042145664,11.7688098631653,11.7418681775777,11.0781303560356,10.6058277972734,11.615059709589,11.7737968052245
"1762870_s_at",9.32588597769176,9.8542477821861,9.46959409046036,8.92519795014791,9.94525474110307,10.1342001526487,8.04715102282062,8.24437282371071
"1759255_at",10.6013043972826,11.1374898272831,10.0950884225902,9.87167373598784,10.7478140692632,11.0480198307324,9.67427187126216,9.95308906023829
"1767232_at",10.5954614644857,10.7021870875759,10.1129761956496,9.89209108126944,10.4972177628404,10.7343593216786,9.60811202425551,9.63004002340554
"1769041_s_at",8.00113216378109,8.86687003977566,7.82646055074992,6.49381121971661,8.79214779180517,8.88377926219157,5.54818366952521,6.90685303722566
"1762717_s_at",8.73994966411735,9.24571033922219,9.44059887578156,9.43211493645105,8.88412969054152,9.19257874122874,8.48572462287118,9.30122186861924
